services,date,time,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method
auto,2024-08-12,00:00:52.627163,completed,Ramamurthy Nagar Yard,Hosur Road Bridge,24.0,RD1622983745087255,10.33,233.67,1.03,234.7,Paytm
bike,2024-07-23,21:56:22.627163,completed,Kothanur 3rd Stage,HRBR Layout Place,16.0,RD9534020130759828,3.98,54.26,3.2,57.46,Amazon Pay
bike,2024-06-25,09:26:12.627163,completed,Dasarahalli Boulevard,Hennur Bridge,23.0,RD8342304694089426,6.53,80.13,3.94,84.07,Amazon Pay
bike ,2024-07-13,10:20:43.627163,completed,Dooravani Nagar 2nd Stage,Madiwala Extension,11.0,RD1087677935453077,2.04,61.35,6.02,67.37,Amazon Pay
auto,2024-07-25,11:27:31.627163,completed,Benniganahalli Garden,ITI Layout Quarry,31.0,RD8426567098384725,11.23,223.78,23.13,246.91,GPay
bike,24/06/2024,12:22:40.627163,completed,Koramangala ,ITI Layout Colony,29.0,RD5868378565317068,8.71,85.14,6.11,91.25,QR scan
cab economy,2024-08-03,05:19 AM,completed,Arekere 6th Stage,Shivaji Nagar Trail,25.0,RD1062696482320311,8.71,282.67,0.03,282.7,Paytm
cab economy,2024-07-02,20:07:16.627163,cancelled,Nayandahalli Township,Hulimavu 3rd Block,24.0,RD0997304918661017,6.01,,,,
bike,2024-08-03,05:05:04.627163,completed,Kothaguda Enclave,Ramamurthy Nagar 1st Block,26.0,RD7757326136970231,8.41,106.36,10.16,116.52,GPay
bike,2024-08-10,07:48:30.627163,completed,Jakkasandra Promenade,Chikkagubbi Side,25.0,RD1536335472036315,8.58,84.19,3.36,87.55,Paytm
bike lite,2024-07-05,11:07:27.627163,completed,Banerghatta Road Nagar,Kalena Agrahara Cross,20.0,RD9159138682584508,6.49,49.41,0.03,49.44,Amazon Pay
cab economy,2024-08-07,06:28:20.627163,cancelled,Harohalli Quarters,Marathahalli Township,39.0,RD7263240640824224,11.35,,,,
auto,2024-07-02,22:34:37.627163,completed,Rachenahalli Mews,Attibele Landing,26.0,RD6471812185146093,10.47,189.83,4.72,194.55,Amazon Pay
auto,2024-08-06,01:04:03.627163,cancelled,Kothanur Cove,Vasanth Nagar Park,24.0,RD1280034686277103,10.59,,,,
auto,2024-07-15,10:04:33.627163,completed,Harohalli Yard,Sadashiva Nagar Valley,30.0,RD2147146554273823,6.41,222.23,16.5,238.73,QR scan
cab economy,2024-07-01,19:24:31.627163,cancelled,Bhadrappa Layout Depot,Anekal 1st Stage,23.0,RD2130330977230481,7.25,,,,
cab economy,2024-07-21,09:47:45.627163,completed,Nandini Layout 1st Stage,Harohalli Sector,180.0,RD7897988310717066,45.0,1963.36,27.58,1990.94,GPay
cab economy,2024-06-30,18:04:42.627163,completed,koramangala,Sonnenahalli 3rd Stage,82.0,RD9723237953204728,17.79,543.65,6.23,549.88,Paytm
auto,2024-07-14,16:30:29.627163,completed,Koramangala ,Kaggalipura Dam,21.0,RD0546410129166907,6.64,129.72,0.32,130.04,QR scan
bike,2024-07-29,12:41:09.627163,completed,Chikka Banaswadi Quarters,Kumaraswamy Layout Layout,5.0,RD3581881544742890,3.61,39.67,3.04,42.71,Paytm
Bike,2024-06-20,21:51:45.627163,completed,Byatarayanapura Way,Kothanur Arcade,5.0,RD3316486558859094,1.0,27.28,0.6,27.88,
bike,2024-07-02,08:49:46.627163,completed,Sarjapur Commons,Bellandur Outer Ring Road Complex,54.0,RD2066017506709337,13.75,193.91,3.87,197.78,Paytm
bike,26/06/2024,21:15:15.627163,completed,Nagwara Hills,Subbanna Palya Meadows,13.0,RD7183535044183144,2.96,39.91,4.63,44.54,QR scan
bike,2024-07-04,23:02:18.627163,completed,Koramangala 8th Block Promenade,Horamavu Commons,19.0,RD6695690944438963,7.41,89.15,2.37,91.52,Amazon Pay
auto,2024-08-13,06:42:12.627163,completed,Nagarbhavi Area,Vasanth Nagar Side,26.0,RD7650475537604054,7.02,159.61,0.37,159.98,Amazon Pay
bike,2024-07-27,02:43:52.627163,completed,Bommasandra Dam,JP Nagar Trail,17.0,RD4972369841168171,4.88,73.75,16.16,89.91,GPay
bike,2024-06-17,15:46:47.627163,completed,Frazer Town Alley,Jalahalli 6th Stage,23.0,RD1111381696537737,9.88,82.95,4.17,87.12,Paytm
auto,2024-07-14,19:26:12.627163,completed,Anjanapura Crescent,HRBR Layout Viewpoint,76.0,RD2909288855695195,12.43,480.24,0.57,480.81,QR scan
cab economy,2024-07-14,07:21:27.627163,completed,Hennur Plaza,Dodda Banaswadi Promenade,25.0,RD2398518875917167,10.54,237.01,1.93,238.94,Paytm
auto,2024-08-07,10:53:32.627163,completed,Banaswadi Pointe,Hulimavu Pass,31.0,RD9288623425694184,7.25,229.72,5.14,234.86,Amazon Pay
auto,2024-06-27,08:47:42.627163,completed,Nagarbhavi Landing,Bellandur Outer Ring Road Track,37.0,RD1084586691127784,6.4,248.74,0.73,249.47,QR scan
cab economy,2024-07-20,19:26:47.627163,completed,Giri Nagar Road,Doddakannelli Run,60.0,RD1144505996852162,12.01,528.76,6.85,535.61,GPay
bike,2024-07-25,04:00:40.627163,completed,Kothaguda Cutting,Kadubeesanahalli Square,27.0,RD3026510522577132,4.32,95.72,2.83,98.55,Amazon Pay
bike,2024-07-15,13:06:47.627163,completed,Ulsoor Close,Vidyaranyapura Dam,15.0,RD9919696937746294,4.7,,,,
bike,2024-08-07,14:41:22.627163,completed,Electronic City Layout,Varthur Nagar,14.0,RD9901324200232657,5.08,55.77,6.1,61.87,QR scan
bike lite,2024-07-18,15:34:39.627163,completed,Nayandahalli Hills,Pai Layout 4th Stage,11.0,RD8720405882206229,1.91,24.57,2.0,26.57,QR scan
parcel,2024-07-29,16:13:15.627163,completed,Kaggalipura Loop,Hennur Road Terrace,62.0,RD4521189509292847,23.47,245.83,13.43,259.26,Amazon Pay
bike,2024-07-16,17:50:37.627163,completed,Basaveshwaranagar Arc,Hulimavu Arc,28.0,RD8160973211073154,6.0,97.09,7.44,104.53,
bike,2024-07-30,08:33:27.627163,completed,Basaveshwaranagar Area,Mahalakshmi Layout Cutting,13.0,RD9279715152500383,1.89,52.21,18.51,70.72,GPay
parcel,2024-07-09,00:13:31.627163,completed,Chikkalasandra Crescent,Doddanekundi Commons,35.0,RD8137520173995383,11.18,197.36,11.76,209.12,GPay
parcel,2024-07-18,00:14:47.627163,completed,Dr. Shivaram Karanth Nagar Run,Lingarajapuram Grove,25.0,RD4844702756396397,4.68,,,,
auto,2024-07-31,07:45:23.627163,completed,Magadi Road Extension,Dodda Banaswadi Fork,20.0,RD9921560916574060,7.52,141.55,4.09,145.64,QR scan
auto,2024-08-08,20:23:15.627163,completed,Subramanyapura 3rd Block,Basavanagudi 5th Stage,15.0,RD5144494431270560,8.08,132.59,10.93,143.52,Amazon Pay
parcel,2024-07-28,20:44:20.627163,completed,Naganathapura Pass,Nagwara Alley,17.0,RD4708792910773039,6.64,,,,
auto,2024-06-17,03:27:55.627163,completed,Thanisandra 3rd Stage,Kodigehalli Complex,20.0,RD0028184242025675,3.04,113.67,9.99,123.66,QR scan
bike lite,2024-06-26,11:57:36.627163,completed,Nayandahalli 1st Block,Lingarajapuram Vista,30.0,RD1793618067971829,8.37,69.98,1.55,71.53,QR scan
parcel,2024-06-25,01:55 PM,completed,Adugodi Zone,Koramangala 6th Block Drive,14.0,RD9055428904827227,2.96,51.33,3.22,54.55,QR scan
bike,2024-07-08,19:00:20.627163,completed,Mahalakshmi Layout Grove,Marathahalli Fork,82.0,RD2256679231745127,16.66,219.07,7.51,226.58,Amazon Pay
auto,2024-07-28,14:05:09.627163,completed,Bommanahalli Pointe,Naganathapura Boulevard,41.0,RD8588058775879980,14.92,271.77,25.1,296.87,Paytm
bike,2024-08-04,23:28:01.627163,completed,Rachenahalli District,Sadashiva Nagar Way,10.0,RD5572258536108608,4.27,57.47,1.28,58.75,Amazon Pay
bike lite,2024-08-10,15:09:45.627163,completed,Begur Place,Benson Town Grove,5.0,RD8252744864973219,1.27,18.71,7.09,25.8,GPay
parcel,18/07/2024,22:53:44.627163,completed,Kaval Byrasandra Passage,Dommasandra Arcade,16.0,RD8789753714521678,3.51,55.28,9.09,64.37,Amazon Pay
bike,2024-07-14,20:06:03.627163,completed,Peenya Quay,Tavarekere Farms,18.0,RD3706686694356048,6.7,69.0,11.23,80.23,Amazon Pay
auto,2024-06-30,01:44:37.627163,completed,Jakkur Zone,Billekahalli Nagar,13.0,RD2069482105369850,3.93,115.98,14.29,130.27,GPay
parcel,2024-07-30,11:09 AM,completed,HSR Layout 1st Stage,Chikka Banaswadi Grove,19.0,RD7824327219507901,5.71,68.44,26.62,95.06,QR scan
bike,2024-07-03,02:28:50.627163,cancelled,Hulimavu Place,Vidya Vihar Pointe,46.0,RD2805119291650215,12.95,,,,
bike,2024-07-19,10:00:02.627163,completed,Nandini Layout Side,Kadubeesanahalli Loop,30.0,RD9279061456454901,4.46,110.16,0.77,110.93,Amazon Pay
auto,2024-07-08,07:08:01.627163,completed,JP Nagar Township,BTM Layout Farms,22.0,RD6563732005876445,6.34,146.11,2.57,148.68,Amazon Pay
bike,2024-07-18,04:58:43.627163,completed,Basavanagudi Hills,Horamavu Vista,6.0,RD2933322468398181,2.23,43.61,6.06,49.67,QR scan
parcel,2024-07-31,08:20:10.627163,completed,koramangala,Rajarajeshwari Nagar Harbor,36.0,RD6504649625702874,8.4,143.2,4.25,147.45,Paytm
auto,2024-08-04,07:07:35.627163,completed,Nagasandra Meadows,Nagawara Park,10.0,RD2719325714712410,3.29,,,,
parcel,2024-07-08,11:21:35.627163,completed,Electronic City Crescent,Vijayanagar Run,9.0,RD2234986104726254,2.95,44.03,5.86,49.89,Paytm
parcel,2024-08-13,22:22:59.627163,completed,Kanaka Nagar Nagar,Rajajinagar Place,35.0,RD7825072614724254,6.99,98.9,10.9,109.8,Paytm
auto,2024-08-13,00:00:15.627163,cancelled,Hulimavu Quay,Marathahalli Pier,19.0,RD1929717146511418,5.3,,,,
parcel,2024-08-08,04:53:25.627163,completed,Varthur District,Nagasandra Heights,5.0,RD6197232884874091,1.52,42.28,10.35,52.63,GPay
auto,2024-07-20,17:24:57.627163,completed,Kothnur Garden,Kaggalipura Enclave,37.0,RD8044935411101421,8.57,289.78,11.09,300.87,Paytm
bike,2024-07-20,17:55:11.627163,completed,Kaggalipura Cross,Bommanahalli Pointe,11.0,RD3305935064955820,2.18,72.9,3.79,76.69,Paytm
bike,2024-07-21,19:49:01.627163,completed,Frazer Town Township,Babusapalya Ridge,6.0,RD6560792558492176,3.27,59.82,16.73,76.55,GPay
bike,2024-07-24,08:04 PM,completed,Benson Town Hills,Hosur Road Depot,14.0,RD3564795227326014,5.66,61.73,13.52,75.25,Paytm
bike,2024-06-28,05:13:58.627163,completed,MG Road 4th Block,Naganathapura District,15.0,RD8713230531281154,6.09,80.7,5.15,85.85,QR scan
cab economy,2024-08-07,05:19:10.627163,completed,Jakkasandra 3rd Stage,Magadi Road Harbor,24.0,RD3288845673570238,8.3,305.43,3.47,308.9,GPay
Auto,2024-08-03,12:45:35.627163,completed,Kothaguda Quarry,Nandini Layout Boulevard,23.0,RD2807052403214663,7.41,159.44,7.79,167.23,
bike lite,2024-08-06,11:25:06.627163,completed,Rajarajeshwari Nagar Heights,Nagwara Close,14.0,RD7241268297853659,3.98,37.59,14.09,51.68,QR scan
bike,2024-07-21,00:31:23.627163,completed,Kalyan Nagar Cove,Madiwala Circle,28.0,RD4639970005702077,9.88,110.28,6.62,116.9,Paytm
bike lite,2024-06-19,17:32:54.627163,completed,Rajajinagar Hills,Rajarajeshwari Nagar Fork,15.0,RD4957941397893336,2.78,36.65,1.11,37.76,Paytm
bike,2024-06-27,15:05:56.627163,completed,Banaswadi Quadrant,Babusapalya Depot,5.0,RD9715697305783249,1.53,,,,
bike lite,2024-07-29,21:42:13.627163,completed,Ashok Nagar Area,Bagalur Station,10.0,RD0925639634862372,2.41,25.5,2.28,27.78,QR scan
parcel,2024-06-29,07:34:43.627163,completed,Ashok Nagar 5th Block,Chikka Banaswadi Woods,13.0,RD6102244321657220,3.93,59.29,17.44,76.73,Amazon Pay
parcel,2024-07-09,14:05:48.627163,completed,Attibele Fork,Shivaji Nagar Quadrant,18.0,RD3399986092832923,9.52,,,,
bike lite,2024-08-10,08:05:32.627163,cancelled,KR Puram Plaza,Dommasandra 2nd Stage,21.0,RD5804399545592579,4.22,,,,
bike,2024-08-04,01:35:52.627163,completed,Horamavu Banaswadi Township,Marathahalli Cross,11.0,RD9614648484734408,5.23,69.37,2.09,71.46,Paytm
bike,2024-07-13,06:48:02.627163,completed,Subramanyapura Trail,ITI Layout 6th Block,20.0,RD0084718603611206,6.9,65.5,3.91,69.41,GPay
parcel,2024-07-23,23:47:47.627163,completed,Rajarajeshwari Nagar Station,Sahakar Nagar Cutting,17.0,RD4093710704210251,4.58,96.97,0.53,97.5,GPay
bike,02/08/2024,05:28:41.627163,completed,Kormangala,Peenya Complex,21.0,RD1464903690912060,6.72,94.61,14.2,108.81,Amazon Pay
cab economy,2024-08-08,18:50:06.627163,completed,Bikasipura Station,JP Nagar 1st Block,56.0,RD9129213389500645,11.94,532.87,12.39,545.26,Paytm
auto,2024-06-23,05:23:53.627163,completed,RT Nagar Village,Amruthahalli 1st Stage,17.0,RD5333490933510057,4.27,155.58,1.86,157.44,Paytm
auto,22/06/2024,20:05:11.627163,completed,Adugodi Area,Nagawara Meadows,5.0,RD8830619203573769,3.87,73.04,8.61,81.65,Amazon Pay
bike,2024-07-23,10:50:58.627163,completed,Horamavu Promenade,Varthur Esplanade,9.0,RD1769992062084040,1.0,46.57,13.72,60.29,Amazon Pay
 bike,2024-07-11,04:48:21.627163,completed,RMV 2nd Stage Esplanade,Chikkabellandur Landing,8.0,RD1088619167405777,3.45,50.31,21.48,71.79,Paytm
cab economy,2024-07-08,06:47:20.627163,completed,Dasarahalli District,Bagalur Bridge,33.0,RD0987374768905787,12.9,283.07,7.57,290.64,Paytm
cab economy,2024-06-30,07:47:48.627163,completed,Horamavu Banaswadi Arcade,BTM 2nd Stage Cross,10.0,RD9404286834383265,5.62,154.31,2.0,156.31,GPay
auto,2024-07-03,00:44:09.627163,completed,Kalyan Nagar Village,BTM Layout Farms,24.0,RD2567733281425858,7.16,213.97,4.62,218.59,Amazon Pay
bike lite,2024-06-19,01:37:04.627163,completed,Benson Town 4th Stage,Vasanth Nagar Crescent,30.0,RD7895309254806226,5.3,75.64,1.04,76.68,GPay
bike,19/06/2024,12:07:31.627163,completed,Avalahalli Cutting,Banashankari Cutting,26.0,RD8126788548208413,7.92,85.23,2.45,87.68,Amazon Pay
parcel,2024-07-11,01:08:43.627163,completed,Hosur Side,Benniganahalli Depot,31.0,RD2421051183121153,15.12,226.31,3.65,229.96,QR scan
parcel,2024-08-09,05:58:33.627163,completed,Kadubeesanahalli 4th Stage,Kothaguda Alley,29.0,RD0506472696836970,8.6,142.72,3.1,145.82,GPay
bike,2024-06-28,07:46:38.627163,completed,Chikkagubbi 1st Block,Kothaguda Works,11.0,RD0877247232305905,2.54,36.44,2.03,38.47,QR scan
bike,2024-07-29,08:15:23.627163,completed,Sadashiva Nagar Estate,Banashankari Woods,6.0,RD2735782265501431,1.95,56.44,2.75,59.19,QR scan
 bike lite,2024-08-13,23:27:44.627163,completed,Ganganagar 5th Stage,Devarachikkanahalli Enclave,11.0,RD0820684835597019,5.88,54.67,7.85,62.52,QR scan
Cab Economy,2024-07-20,05:48:55.627163,completed,Banaswadi Complex,Hennur Vista,28.0,RD4481537985243781,7.78,280.0,6.43,286.43,Paytm
parcel,2024-08-03,01:12:25.627163,completed,Horamavu Terrace,Dooravani Nagar Depot,12.0,RD0520612921117189,1.13,44.24,2.83,47.07,Amazon Pay
auto,2024-07-07,02:46:18.627163,completed,Koramangala 6th Block Sector,Kaval Byrasandra Grove,23.0,RD6986176193778647,12.21,253.87,6.49,260.36,Amazon Pay
auto,2024-07-23,09:15:53.627163,completed,RMV 2nd Stage Estate,Babusapalya Quadrant,63.0,RD4530022416968903,15.37,463.75,0.76,464.51,Paytm
auto,2024-07-15,14:04:06.627163,completed,koramangala,Nagarbhavi Landing,72.0,RD8991809090423309,22.41,407.27,0.76,408.03,Paytm
bike lite,2024-06-24,16:06:45.627163,completed,Koramangala 4th Block Promenade,Shivaji Nagar Complex,12.0,RD8831181603313731,3.49,33.03,22.0,55.03,QR scan
auto,2024-08-03,07:29:57.627163,completed,Dr. Shivaram Karanth Nagar Commons,Rajarajeshwari Nagar Village,9.0,RD3797417000913071,3.83,81.9,6.63,88.53,QR scan
bike ,2024-08-09,03:36:52.627163,completed,Varthur Close,Jayanagar Court,12.0,RD4679853246193469,6.65,83.78,5.35,89.13,
bike,2024-08-05,10:17:02.627163,completed,Hosur Road Landing,Bagalur Nagar,34.0,RD2347239518907591,5.53,145.41,21.4,166.81,Paytm
parcel,2024-07-03,11:16:47.627163,completed,Koramangala Village,Kanaka Nagar Layout,18.0,RD6214014910144525,6.48,75.75,10.14,85.89,GPay
cab economy,2024-07-20,12:25:25.627163,completed,Banaswadi Extension,Whitefield Park,28.0,RD7444832967219600,10.94,251.46,1.43,252.89,Paytm
auto,2024-08-09,21:43:36.627163,completed,Munnekollal Bridge,Koramangala Township,17.0,RD9889950152195645,3.67,86.77,7.28,94.05,Amazon Pay
auto,2024-08-01,18:27:07.627163,completed,Koramangala ,Hulimavu Alley,26.0,RD9068448228431394,5.6,234.65,12.75,247.4,Amazon Pay
auto,2024-06-25,15:44:46.627163,completed,Banashankari Hills,Ganganagar Drive,16.0,RD3480082196486827,5.4,112.23,5.14,117.37,QR scan
cab economy,2024-06-23,18:58:57.627163,completed,Chikkalasandra Bridge,Sahakar Nagar Commons,59.0,RD2962009087376128,11.58,561.86,0.42,562.28,Paytm
parcel,2024-07-27,05:36:56.627163,completed,Kaggalipura Farms,Hosur Close,9.0,RD7924967841399065,5.05,87.25,14.9,102.15,QR scan
parcel,2024-07-06,03:32:24.627163,completed,Nandini Layout Dam,Mahalakshmi Layout Pointe,32.0,RD4618637171828837,13.77,195.17,1.49,196.66,Amazon Pay
parcel,2024-06-28,22:13:12.627163,completed,Kasavanahalli Sector,Ashok Nagar 3rd Block,10.0,RD5077076048872382,1.76,35.33,10.66,45.99,Paytm
bike,2024-06-22,06:01:57.627163,completed,Subramanyapura Nagar,Malleshwaram Alcove,14.0,RD6396618133713895,5.27,58.18,0.14,58.32,Paytm
bike,2024-07-21,12:58:29.627163,cancelled,Mahadevapura Farms,Kodigehalli Alcove,7.0,RD3613491784748434,2.85,,,,
bike lite,2024-07-23,06:09:24.627163,completed,Varthur Alcove,Vasanth Nagar Cut,13.0,RD5109233793140288,3.23,32.03,0.62,32.65,Paytm
cab economy,2024-07-28,06:16:54.627163,completed,Koramangala 8th Block Harbor,Amruthahalli Quadrant,23.0,RD9378152686373112,7.73,185.64,5.67,191.31,QR scan
bike lite,2024-08-03,02:22:17.627163,completed,Avalahalli Landing,Rachenahalli Landing,15.0,RD5729060480199784,6.13,,,,
Auto,2024-06-22,03:22:32.627163,completed,Dr. Shivaram Karanth Nagar Alcove,Hosur Sarjapur Road Layout Meadows,5.0,RD7033872584824481,2.39,67.02,5.5,72.52,QR scan
bike,2024-07-05,21:22:50.627163,completed,Sanjay Nagar Run,Doddanekundi Pointe,10.0,RD8798519045990211,1.79,36.99,5.04,42.03,Paytm
cab economy,2024-08-06,16:08:25.627163,completed,VV Puram Arcade,Doddaballapur Works,23.0,RD7863647793011125,7.08,200.2,3.55,203.75,QR scan
auto,2024-08-13,15:52:42.627163,completed,Banashankari Yard,Benson Town 6th Stage,19.0,RD9774771310081069,10.45,191.26,9.42,200.68,GPay
bike lite,2024-08-16,16:01:33.627163,completed,Jalahalli Loop,Kanakapura Loop,17.0,RD1814841977523246,6.22,52.68,9.53,62.21,Paytm
parcel,2024-08-10,05:41:32.627163,completed,Kudlu Woods,Mahalakshmi Layout Square,23.0,RD8019660170775239,10.88,155.79,3.68,159.47,GPay
cab economy,2024-07-18,22:17:51.627163,completed,BTM Layout Mews,Kodigehalli Landing,42.0,RD1726388955815192,12.8,,,,
auto,2024-08-04,10:22 AM,completed,Billekahalli Grove,Devarachikkanahalli Circle,13.0,RD5931254276212298,3.66,134.68,2.89,137.57,QR scan
cab economy,2024-08-16,09:59:15.627163,completed,Kengeri Arc,HSR Layout 3rd Stage,59.0,RD7876397181962778,12.59,,,,
auto,2024-07-15,05:29:42.627163,completed,Peenya Plaza,Rajajinagar 3rd Block,11.0,RD9158073681367205,3.97,129.5,4.51,134.01,Paytm
auto,2024-08-10,08:57:51.627163,completed,Kudlu 4th Stage,Gottigere Lane,33.0,RD9386104662705171,8.0,210.83,5.3,216.13,GPay
bike,2024-06-22,11:04:01.627163,cancelled,Bommanahalli 2nd Block,Bellandur Outer Ring Road Alcove,22.0,RD2261755038414707,8.71,,,,
Auto,2024-08-04,09:12:21.627163,completed,Gottigere Hills,MG Road Crescent,17.0,RD1348208068811179,2.78,,,,
bike,2024-06-25,20:11:43.627163,completed,Hennur Side,BTM Layout Quarry,62.0,RD4785791889166714,25.0,195.0,12.07,207.07,Paytm
bike lite,2024-06-24,03:11:56.627163,completed,Vasanth Nagar Depot,Dommasandra Promenade,14.0,RD9554324691511260,3.99,55.77,3.36,59.13,Amazon Pay
bike,2024-08-15,07:57:43.627163,completed,Kadugodi Village,Kanakapura Yard,7.0,RD4704655640175366,1.44,29.45,12.35,41.8,
cab economy,2024-07-21,23:57:18.627163,completed,Ramamurthy Nagar Alley,Banashankari Cutting,28.0,RD6115955391657706,6.91,285.31,12.6,297.91,GPay
cab economy,2024-07-01,17:49:12.627163,completed,Koramangala ,Chikkagubbi Road,19.0,RD0241478090149286,2.59,199.31,0.06,199.37,Amazon Pay
bike,2024-07-15,22:16:43.627163,completed,Bikasipura Boulevard,Ramamurthy Nagar District,27.0,RD0586979661349178,9.15,87.39,5.31,92.7,Amazon Pay
parcel,2024-07-14,19:33:23.627163,completed,Vidyaranyapura Arc,Yelahanka Quay,65.0,RD2762984276763574,16.13,215.95,8.89,224.84,GPay
parcel ,2024-07-19,10:49:12.627163,cancelled,Jakkasandra 3rd Stage,Ramamurthy Nagar Woods,97.0,RD7780698296699994,16.43,,,,
bike,2024-07-03,05:55:43.627163,completed,Hebbal Kempapura Woods,Sanjay Nagar Station,8.0,RD3458168243695375,3.98,61.18,33.09,94.27,GPay
auto,2024-06-28,14:07:28.627163,completed,Jakkur Yard,Kalena Agrahara 6th Stage,17.0,RD9667587600779162,5.13,104.41,11.27,115.68,GPay
bike lite,2024-07-30,10:28:28.627163,completed,Seshadripuram Loop,Agara Valley,12.0,RD2303082406315041,2.18,49.13,5.12,54.25,Paytm
auto,2024-06-17,03:48:05.627163,completed,Kodigehalli 4th Block,Jayanagar Bay,32.0,RD0103159655721525,9.79,252.9,12.82,265.72,Paytm
parcel,2024-06-22,05:25:03.627163,completed,Sonnenahalli Road,Giri Nagar Zone,22.0,RD8439443353256200,4.54,75.35,8.97,84.32,Amazon Pay
auto,2024-06-17,20:39:13.627163,completed,Jayanagar Cross,HSR Layout Loop,16.0,RD3788055288360436,6.25,121.94,6.05,127.99,QR scan
bike,2024-07-13,03:25:22.627163,completed,Nelamangala Track,Koramangala 8th Block Harbor,16.0,RD3983374220236953,5.6,83.84,1.55,85.39,GPay
parcel,2024-08-09,18:29:52.627163,completed,Marathahalli 2nd Block,Nagarbhavi Quadrant,44.0,RD6620196214385213,10.36,202.33,6.66,208.99,Amazon Pay
cab economy,2024-07-08,16:31:52.627163,completed,Giri Nagar Sector,Bellandur Outer Ring Road 4th Stage,35.0,RD7453084587135405,12.84,286.59,5.43,292.02,Amazon Pay
parcel,2024-06-19,09:04:32.627163,completed,koramangala,Banaswadi Woods,38.0,RD5433032484658578,6.82,132.67,10.18,142.85,QR scan
parcel,2024-06-21,16:25:50.627163,completed,RMV 2nd Stage 6th Stage,Bhadrappa Layout 3rd Block,69.0,RD1494306537526229,22.25,254.32,20.05,274.37,GPay
auto,2024-08-06,11:16:17.627163,completed,Kasturi Nagar Sector,Nagawara Estate,22.0,RD7710199990131376,9.83,184.6,2.55,187.15,
cab economy ,2024-06-18,02:31:46.627163,completed,Bagalur Village,Banaswadi Meadows,53.0,RD1124816633998249,15.26,406.8,4.49,411.29,GPay
bike,2024-07-03,17:33:28.627163,cancelled,Mahalakshmi Layout Boulevard,HRBR Layout Place,26.0,RD3986262746318862,4.3,,,,
auto,2024-08-15,19:42:13.627163,cancelled,Bommanahalli Square,Kumaraswamy Layout Commons,43.0,RD9519111114371390,11.45,,,,
cab economy,2024-08-10,21:16:42.627163,completed,Nelamangala Sector,Hosur Road Zone,49.0,RD2338511399776473,12.98,330.13,13.89,344.02,QR scan
parcel,2024-06-24,21:07:21.627163,completed,Dooravani Nagar Close,Nagwara 5th Block,20.0,RD2816190753138481,10.03,101.49,2.27,103.76,Paytm
parcel,2024-07-09,06:29:04.627163,completed,Chokkanahalli Pier,JP Nagar Zone,19.0,RD7321401459514924,5.86,,,,
bike,2024-07-18,15:33:30.627163,completed,Indiranagar Heights,Bommanahalli Enclave,50.0,RD3823140642877722,20.84,180.47,5.16,185.63,Amazon Pay
auto,2024-07-03,01:40:17.627163,completed,Kanaka Nagar 2nd Stage,Kaval Byrasandra Hills,26.0,RD4483588763321142,5.73,184.74,1.8,186.54,Paytm
auto,2024-07-29,08:53:30.627163,completed,Doddanekundi Depot,Kalyan Nagar Cove,16.0,RD5829811493873394,1.5,110.96,1.39,112.35,
cab economy,2024-06-28,01:41:39.627163,cancelled,Banerghatta Road Quay,Vidyaranyapura 2nd Stage,78.0,RD6980546910545449,25.86,,,,
bike,2024-07-12,01:43:55.627163,cancelled,Sahakar Nagar Meadows,Chikkajala 3rd Stage,11.0,RD0640611634721453,2.56,,,,
bike lite,2024-06-22,00:59:21.627163,completed,Doddakannelli 5th Block,Nagarbhavi Quay,5.0,RD0910455488014003,1.33,23.35,7.49,30.84,Amazon Pay
auto,2024-06-18,18:12:19.627163,completed,Chikkalasandra Enclave,KR Puram Alcove,84.0,RD2037976106032976,13.45,438.22,2.64,440.86,Paytm
parcel,2024-06-22,12:23:26.627163,completed,Kudlu Gate Square,Dr. Shivaram Karanth Nagar Side,15.0,RD4912467139988261,6.11,70.3,10.03,80.33,GPay
parcel,2024-06-23,00:03:34.627163,completed,Sarjapur Bay,Kundalahalli Pointe,11.0,RD5802550509603395,2.18,,,,
auto,2024-07-07,16:26:55.627163,completed,Bommanahalli Plaza,Balagere Square,20.0,RD3117199073012779,5.87,123.29,2.23,125.52,Amazon Pay
bike,2024-08-05,12:28:47.627163,completed,Nagasandra Alcove,Madiwala Pass,12.0,RD0242309403109491,2.94,44.25,0.23,44.48,Amazon Pay
bike,2024-07-01,00:36:07.627163,completed,Madiwala Zone,Mahalakshmi Layout Alcove,16.0,RD6946773359732045,4.73,63.45,12.46,75.91,Paytm
bike,01/07/2024,08:15:26.627163,completed,Bikasipura Estate,Horamavu Banaswadi Run,43.0,RD8441634706792151,6.67,150.37,4.7,155.07,Paytm
bike,2024-07-07,02:36:23.627163,completed,Attibele Loop,Nagawara Pier,24.0,RD4171323344908161,11.41,130.74,3.82,134.56,GPay
bike lite,2024-06-29,19:32:20.627163,completed,Tavarekere Run,Lingarajapuram Trail,19.0,RD4945083572617196,5.45,65.95,0.46,66.41,Amazon Pay
bike,2024-07-03,13:37:51.627163,completed,HRBR Layout Pier,Harohalli Terrace,22.0,RD5613539998691180,6.32,69.56,3.93,73.49,Paytm
auto,2024-07-30,09:43 PM,completed,Bhuvaneshwari Nagar Ridge,Giri Nagar Close,29.0,RD7443856462300431,10.11,206.06,4.11,210.17,QR scan
